filename,signal_name,profit
cryptocurrency_database.miniticker_collection_07162019.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,1.55
cryptocurrency_database.miniticker_collection_07162019.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,3.79
cryptocurrency_database.miniticker_collection_11202018.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,2.0
cryptocurrency_database.miniticker_collection_11202018.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.13
cryptocurrency_database.miniticker_collection_11202018.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,1.29
cryptocurrency_database.miniticker_collection_11202018.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.17
cryptocurrency_database.miniticker_collection_11202018.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.64
cryptocurrency_database.miniticker_collection_11202018.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,2.71
cryptocurrency_database.miniticker_collection_11202018.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.9
cryptocurrency_database.miniticker_collection_11202018.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,0.87
cryptocurrency_database.miniticker_collection_11202018.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,0.72
cryptocurrency_database.miniticker_collection_11202018.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.02
cryptocurrency_database.miniticker_collection_11202018.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,1.49
cryptocurrency_database.miniticker_collection_11202018.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.63
cryptocurrency_database.miniticker_collection_11202018.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,0.21
cryptocurrency_database.miniticker_collection_11202018.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.27
cryptocurrency_database.miniticker_collection_11232018.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.42
cryptocurrency_database.miniticker_collection_11232018.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-2.06
cryptocurrency_database.miniticker_collection_11232018.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-1.1
cryptocurrency_database.miniticker_collection_11232018.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-1.23
cryptocurrency_database.miniticker_collection_11232018.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.73
cryptocurrency_database.miniticker_collection_11232018.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-1.24
cryptocurrency_database.miniticker_collection_11232018.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,-2.32
cryptocurrency_database.miniticker_collection_11232018.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.04
cryptocurrency_database.miniticker_collection_11232018.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-2.09
cryptocurrency_database.miniticker_collection_11232018.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-1.86
cryptocurrency_database.miniticker_collection_11232018.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-1.3
cryptocurrency_database.miniticker_collection_11232018.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.72
cryptocurrency_database.miniticker_collection_11232018.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-2.38
cryptocurrency_database.miniticker_collection_11232018.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,-1.47
